"","parameter","mod","group","subgroup","exposure","PAR_estimate","PAR_min","PAR_max","Q_stat","p_het"
"215","par","socio","sex","male","fincome3",0.02546,0.00845,0.05659,"0.23",0.63006
"216","par","socio","sex","male","ses",0.22864,0.21442,0.2421,"0.01",0.90508
"217","par","socio","sex","male","sesq0",0.10769,0.086,0.11711,"0.09",0.76108
"218","par","socio","sex","male","sesq1",0.07503,0.06586,0.08557,"0.03",0.85189
"219","par","socio","sex","male","sesq2",0.04592,0.03942,0.04831,"0.05",0.81503
"220","par","socio","sex","male","soc",0.37213,0.33941,0.40248,"0.73",0.3914
"221","par","socio","mob","moob","heduc",0.03358,0,0.16312,"1.26",0.26166
"222","par","socio","mob","moob","heduc1",0.00641,0,0.02849,"2.91",0.08772
"223","par","socio","mob","moob","heduc2",0.02717,0,0.13463,"0.55",0.45591
"224","par","socio","mob","moob","fincome",0.11377,0,0.19689,"0.00",0.98332
"225","par","socio","mob","moob","fincome1",0.03686,0,0.06702,"0.01",0.90536
"226","par","socio","mob","moob","fincome2",0.05032,0,0.09753,"0.02",0.88247
"227","par","socio","mob","moob","fincome3",0.0266,0,0.05022,"0.01",0.90833
"228","par","socio","mob","moob","ses",0.28078,0.2483,0.31428,"0.88",0.34606
"229","par","socio","mob","moob","sesq0",0.14613,0.12721,0.16491,"1.46",0.2254
"230","par","socio","mob","moob","sesq1",0.06919,0.05691,0.08756,"0.00",0.96967
"231","par","socio","mob","moob","sesq2",0.06546,0.06052,0.07573,"0.94",0.33063
"232","par","socio","mob","moob","soc",0.34913,0.26009,0.38573,"0.00",0.97604
"233","par","socio","mob","nomoob","heduc",0.17461,0.14993,0.19329,"1.26",0.26166
"234","par","socio","mob","nomoob","heduc1",0.07342,0.06603,0.08265,"2.91",0.08772
"235","par","socio","mob","nomoob","heduc2",0.10119,0.0839,0.12503,"0.55",0.45591
"236","par","socio","mob","nomoob","fincome",0.1177,0.0893,0.15172,"0.00",0.98332
"237","par","socio","mob","nomoob","fincome1",0.03113,0.01612,0.04349,"0.01",0.90536
"238","par","socio","mob","nomoob","fincome2",0.06632,0.05718,0.08278,"0.02",0.88247
"239","par","socio","mob","nomoob","fincome3",0.02025,0,0.02748,"0.01",0.90833
"240","par","socio","mob","nomoob","ses",0.1699,0.15091,0.19326,"0.88",0.34606
"241","par","socio","mob","nomoob","sesq0",0.07552,0.058,0.09217,"1.46",0.2254
"242","par","socio","mob","nomoob","sesq1",0.06744,0.06158,0.07402,"0.00",0.96967
"243","par","socio","mob","nomoob","sesq2",0.02694,0.01817,0.04391,"0.94",0.33063
"244","par","socio","mob","nomoob","soc",0.34454,0.33301,0.35635,"0.00",0.97604
"245","par","socio","age","teen","heduc",0.15915,0.12739,0.18948,"0.63",0.42394
"246","par","socio","age","teen","heduc1",0.05968,0.05229,0.06575,"0.85",0.35507
"247","par","socio","age","teen","heduc2",0.09947,0.0751,0.12373,"0.33",0.56164
"248","par","socio","age","teen","fincome",0.16971,0.10945,0.2026,"0.00",0.99052
"249","par","socio","age","teen","fincome1",0.04371,0.03543,0.05354,"0.02",0.86602
"250","par","socio","age","teen","fincome2",0.09116,0.05019,0.11521,"0.00",0.96587
"251","par","socio","age","teen","fincome3",0.03485,0.02064,0.04832,"0.00",0.99355
"252","par","socio","age","teen","ses",0.21418,0.1817,0.24282,"0.78",0.37569
"253","par","socio","age","teen","sesq0",0.10401,0.07881,0.12226,"0.97",0.32258
"254","par","socio","age","teen","sesq1",0.07308,0.06741,0.08331,"0.25",0.61482
"255","par","socio","age","teen","sesq2",0.03708,0.03191,0.05068,"0.29",0.58785
"256","par","socio","age","teen","soc",0.39131,0.38154,0.39692,"0.92",0.33717
"257","par","uter","age","child","abwt",0.04102,0.02068,0.05073,"0.52",0.46937
"258","par","uter","age","child","abwt1",0.00363,0,0.01159,"0.01",0.89197
"259","par","uter","age","child","abwt3",0.0374,0.02068,0.04498,"1.40",0.23519
"260","par","uter","age","child","gweek",0.04274,0.03326,0.05622,"0.54",0.46103
"261","par","uter","age","child","gweek1",0.01316,0,0.03321,"0.18",0.66327
"262","par","uter","age","child","gweek3",0.02958,0.02301,0.03496,"0.34",0.55439
"263","par","uter","age","child","Delivery",0.07631,0.06105,0.09517,"0.71",0.39928
"264","par","uter","age","child","pregcomp2",0.04612,0.04031,0.05377,"0.46",0.49484
"265","par","uter","age","child","bpregob",0.06355,0.05546,0.07145,"0.57",0.44784
"266","par","uter","age","child","uter",0.22612,0.20903,0.23666,"1.75",0.18531
"267","par","uter","sex","female","abwt",0.01533,0.01056,0.028,"0.38",0.53303
"268","par","uter","sex","female","abwt1",0.01368,0.01056,0.02094,"0.70",0.39976
"269","par","uter","sex","female","abwt3",0.00165,0,0.00706,"4.21",0.04016
"270","par","uter","sex","female","gweek",0.01864,0.01342,0.02335,"0.00",0.98255
"271","par","uter","sex","female","gweek1",0,0,0,"0.00",0.95478
"272","par","uter","sex","female","gweek3",0.01864,0.01342,0.02335,"0.00",0.92154
"273","par","uter","sex","female","Delivery",0.02819,0.01448,0.04556,"0.65",0.41868
"274","par","uter","sex","female","pregcomp2",0.02961,0.01383,0.04186,"0.00",0.94062
"275","par","uter","sex","female","bpregob",0.10344,0.09704,0.10997,"5.23",0.0222
"276","par","uter","sex","female","uter",0.17487,0.16093,0.18688,"0.03",0.86182
"277","par","uter","sex","male","abwt",0.02838,0.02187,0.03431,"0.38",0.53303
"278","par","uter","sex","male","abwt1",0.00078,0,0.00391,"0.70",0.39976
"279","par","uter","sex","male","abwt3",0.02759,0.02187,0.0325,"4.21",0.04016
"280","par","uter","sex","male","gweek",0.01808,0.01301,0.02782,"0.00",0.98255
"281","par","uter","sex","male","gweek1",0.00106,0,0.00325,"0.00",0.95478
"282","par","uter","sex","male","gweek3",0.01701,0.01301,0.02458,"0.00",0.92154
"283","par","uter","sex","male","Delivery",0.05547,0.04773,0.06584,"0.65",0.41868
"284","par","uter","sex","male","pregcomp2",0.02779,0.01785,0.0342,"0.00",0.94062
"285","par","uter","sex","male","bpregob",0.06065,0.05837,0.06386,"5.23",0.0222
"286","par","uter","sex","male","uter",0.1683,0.15944,0.17736,"0.03",0.86182
"287","par","uter","mob","moob","abwt",0.01414,0.00722,0.02432,"0.06",0.80144
"288","par","uter","mob","moob","abwt1",0.00907,0,0.01612,"0.08",0.77507
"289","par","uter","mob","moob","abwt3",0.00507,0,0.00819,"0.47",0.49005
"290","par","uter","mob","moob","gweek",0.0271,0.01194,0.04779,"0.16",0.68474
"291","par","uter","mob","moob","gweek1",0.00772,0.00082,0.0206,"0.13",0.71757
"292","par","uter","mob","moob","gweek3",0.01938,0.01111,0.02718,"0.06",0.80066
"293","par","uter","mob","moob","Delivery",0.04783,0.01609,0.06493,"0.19",0.65651
"294","par","uter","mob","moob","pregcomp2",0.00626,0,0.01943,"0.42",0.5129
"295","par","uter","mob","moob","bpregob",0.09675,0.09071,0.1057,"6.74",0.00941
"296","par","uter","mob","moob","uter",0.17551,0.14221,0.19942,"2.24",0.13436
"297","par","uter","mob","nomoob","abwt",0.01994,0.01187,0.02436,"0.06",0.80144
"298","par","uter","mob","nomoob","abwt1",0.00408,0.00121,0.00849,"0.08",0.77507
"299","par","uter","mob","nomoob","abwt3",0.01586,0.00817,0.02163,"0.47",0.49005
"300","par","uter","mob","nomoob","gweek",0.01452,0.01157,0.01859,"0.16",0.68474
"301","par","uter","mob","nomoob","gweek1",0,0,0,"0.13",0.71757
"302","par","uter","mob","nomoob","gweek3",0.01452,0.01157,0.01859,"0.06",0.80066
"303","par","uter","mob","nomoob","Delivery",0.0285,0.01341,0.03525,"0.19",0.65651
"304","par","uter","mob","nomoob","pregcomp2",0.0251,0.01883,0.0278,"0.42",0.5129
"305","par","uter","mob","nomoob","bpregob",0.00452,0.00357,0.00544,"6.74",0.00941
"306","par","uter","mob","nomoob","uter",0.08796,0.08023,0.09652,"2.24",0.13436
"307","par","uter","age","teen","abwt",0.01847,0.01283,0.02664,"0.52",0.46937
"308","par","uter","age","teen","abwt1",0.00654,0.00341,0.01101,"0.01",0.89197
"309","par","uter","age","teen","abwt3",0.01193,0.00904,0.01563,"1.40",0.23519
"310","par","uter","age","teen","gweek",0.01568,0.01121,0.02206,"0.54",0.46103
"311","par","uter","age","teen","gweek1",0,0,0,"0.18",0.66327
"312","par","uter","age","teen","gweek3",0.01568,0.01121,0.02206,"0.34",0.55439
"313","par","uter","age","teen","Delivery",0.03687,0.02482,0.04731,"0.71",0.39928
"314","par","uter","age","teen","pregcomp2",0.02526,0.01095,0.03237,"0.46",0.49484
"315","par","uter","age","teen","bpregob",0.0814,0.07805,0.08652,"0.57",0.44784
"316","par","uter","age","teen","uter",0.15911,0.15145,0.17272,"1.75",0.18531
