"","parameter","exposure","mod","group","subgroup","RR","LCI","UCI","Q_stat","p_het"
"99","rr","mopaq2","mom","mob","moob",1.3344,0.90338,1.97107,"0.58",0.44257
"100","rr","mosmk2","mom","mob","moob",1.14363,0.88611,1.47599,"0.00",0.93668
"101","rr","mosmk3","mom","mob","moob",1.14648,0.75427,1.74264,"1.56",0.21036
"102","rr","moshiftq1","mom","mob","moob",1.18672,0.87496,1.60957,"0.00",0.97446
"103","rr","moshiftq2","mom","mob","moob",1.13112,0.83922,1.52455,"0.01",0.91092
"104","rr","moshiftq3","mom","mob","moob",1.09466,0.81254,1.47474,"0.02",0.88669
"105","rr","mowestq1","mom","mob","nomoob",1.07402,0.87714,1.3151,"0.30",0.58264
"106","rr","mowestq2","mom","mob","nomoob",0.98726,0.7713,1.26369,"1.17",0.27901
"107","rr","mowestq3","mom","mob","nomoob",1.31907,1.00268,1.73531,"0.93",0.33357
"108","rr","mopaq0","mom","mob","nomoob",1.15589,0.94204,1.41829,"0.75",0.38409
"109","rr","mopaq1","mom","mob","nomoob",1.19012,0.9605,1.47463,"0.16",0.68136
"110","rr","mopaq2","mom","mob","nomoob",1.12322,0.9104,1.38579,"0.58",0.44257
"111","rr","mosmk2","mom","mob","nomoob",1.15731,0.99628,1.34436,"0.00",0.93668
"112","rr","mosmk3","mom","mob","nomoob",1.57027,1.20442,2.04725,"1.56",0.21036
"113","rr","moshiftq1","mom","mob","nomoob",1.17985,0.98207,1.41746,"0.00",0.97446
"114","rr","moshiftq2","mom","mob","nomoob",1.15441,0.94577,1.40906,"0.01",0.91092
"115","rr","moshiftq3","mom","mob","nomoob",1.12291,0.92978,1.35615,"0.02",0.88669
"116","rr","mowestq1","mom","age","teen",1.11998,0.91836,1.36586,"0.08",0.76791
"117","rr","mowestq2","mom","age","teen",1.18748,0.9675,1.45749,"0.05",0.81891
"118","rr","mowestq3","mom","age","teen",1.48938,1.18975,1.86447,"0.31",0.57426
"119","rr","mopaq0","mom","age","teen",1.44186,1.20797,1.72104,"0.76",0.38041
"120","rr","mopaq1","mom","age","teen",1.31569,1.09066,1.58716,"0.00",0.98268
"121","rr","mopaq2","mom","age","teen",1.23853,1.03263,1.48549,"0.30",0.5783
"122","rr","mosmk2","mom","age","teen",1.18079,1.02802,1.35625,"0.41",0.5219
"123","rr","mosmk3","mom","age","teen",1.5791,1.21796,2.04734,"4.35",0.03698
"124","rr","moshiftq1","mom","age","teen",1.15831,0.97472,1.37647,"3.14",0.07638
"125","rr","moshiftq2","mom","age","teen",1.19176,0.99794,1.42321,"0.02",0.87496
"126","rr","moshiftq3","mom","age","teen",1.27596,1.07995,1.50756,"2.38",0.12225
"127","rr","sesq0","socio","age","child",1.98046,1.23935,3.16473,"1.17",0.27762
"128","rr","sesq1","socio","age","child",1.4942,0.95863,2.32899,"0.09",0.75341
"129","rr","sesq2","socio","age","child",1.29472,0.79044,2.12071,"0.04",0.82471
"130","rr","sesq0","socio","sex","female",1.6507,1.23818,2.20065,"0.20",0.6476
"131","rr","sesq1","socio","sex","female",1.55072,1.17365,2.04893,"0.79",0.37328
"132","rr","sesq2","socio","sex","female",1.25598,0.94504,1.66923,"0.01",0.89187
"133","rr","sesq0","socio","sex","male",1.50302,1.12134,2.01462,"0.20",0.6476
"134","rr","sesq1","socio","sex","male",1.29943,0.98141,1.72052,"0.79",0.37328
"135","rr","sesq2","socio","sex","male",1.22315,0.94305,1.58644,"0.01",0.89187
"136","rr","sesq0","socio","mob","moob",1.63691,1.1206,2.3911,"0.79",0.37391
"137","rr","sesq1","socio","mob","moob",1.35091,0.92485,1.97323,"0.00",0.9265
