Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
west,5,-0.254040,0.067477,-0.39328,-0.11480,24.086,-0.303675,-0.216295,0,-3.76,0.0009,swamp,0.7756609686,0.6748399321,0.8915446605
cohort,5,0.083396,0.037231,0.01006,0.15673,244.94,0.070880,0.101746,0,2.24,0.0260,swamp,1.0869717468,1.0101121592,1.1696795919
chage,5,0.074110,0.007235,0.05970,0.08852,75.809,0.069396,0.077465,0,10.24,<.0001,swamp,1.0769253989,1.0615187664,1.0925556397
white,5,-0.168343,0.071182,-0.30959,-0.02709,98.417,-0.213623,-0.133392,0,-2.36,0.0200,swamp,0.8450642823,0.7337458201,0.9732711542
sex,5,-0.514432,0.035914,-0.58608,-0.44278,68.78,-0.531541,-0.490953,0,-14.32,<.0001,swamp,0.5978403468,0.5565028205,0.6422484615
INTERCEPT,5,-4.052312,0.187529,-4.43978,-3.66484,23.506,-4.165068,-3.881179,0,-21.61,<.0001,ind s,0.0173821427,0.0117984889,0.0256082696
superq1,5,0.029705,0.081095,-0.12931,0.18872,2692.7,0.013841,0.051188,0,0.37,0.7142,ind s,1.0301505431,0.8787018489,1.2077021834
superq2,5,0.049317,0.083108,-0.11364,0.21227,3048.1,0.030991,0.070736,0,0.59,0.5530,ind s,1.0505528538,0.8925813592,1.2364825762
superq3,5,0.057427,0.093806,-0.12729,0.24214,261.15,0.019318,0.093929,0,0.61,0.5409,ind s,1.0591074417,0.8804815382,1.2739717125
restq1,5,-0.068952,0.071040,-0.21730,0.07940,19.655,-0.109611,-0.004174,0,-0.97,0.3435,ind s,0.9333713889,0.80468477,1.0826378006
restq2,5,-0.007098,0.069376,-0.14350,0.12930,386.1,-0.036218,0.012974,0,-0.10,0.9186,ind s,0.9929272152,0.8663204247,1.13803672
restq3,5,0.074871,0.083866,-0.08991,0.23965,496.71,0.054046,0.101882,0,0.89,0.3724,ind s,1.0777447943,0.9140174771,1.2708004723
fastq1,5,0.057201,0.060336,-0.06174,0.17614,209.78,0.025037,0.080660,0,0.95,0.3442,ind s,1.0588687892,0.9401258107,1.1926096485
fastq2,5,-0.010259,0.063942,-0.13600,0.11549,362.07,-0.029294,0.018245,0,-0.16,0.8726,ind s,0.9897930509,0.8728390079,1.1224180802
fastq3,5,-0.025383,0.077236,-0.17705,0.12628,641.1,-0.050395,0.000024078,0,-0.33,0.7425,ind s,0.9749359795,0.8377386178,1.1346023019
convq1,5,0.074828,0.090718,-0.10594,0.25560,73.721,0.026984,0.114884,0,0.82,0.4121,ind s,1.0776991598,0.8994760307,1.2912356077
convq2,5,0.099866,0.088694,-0.07783,0.27756,55.737,0.058703,0.153344,0,1.13,0.2650,ind s,1.1050223604,0.9251230653,1.319904846
convq3,5,0.118550,0.094150,-0.07015,0.30725,54.784,0.058803,0.173770,0,1.26,0.2133,ind s,1.1258628491,0.9322554593,1.3596779104
sesq0,5,0.074604,0.059236,-0.04412,0.19333,54.666,0.045345,0.112371,0,1.26,0.2132,ind s,1.0774573057,0.9568352537,1.2132854021
sesq1,5,0.070092,0.055469,-0.04066,0.18084,65.91,0.029952,0.098368,0,1.26,0.2108,ind s,1.0726067834,0.9601576358,1.1982254465
sesq2,5,0.070334,0.047581,-0.02303,0.16370,1059,0.053901,0.080317,0,1.48,0.1397,ind s,1.0728659754,0.9772321593,1.1778587005
heduc1,5,0.231537,0.055203,0.12176,0.34131,84.022,0.210860,0.263405,0,4.19,<.0001,ind s,1.2605359346,1.1294831022,1.4067947004
heduc2,5,0.126990,0.041360,0.04487,0.20911,93.947,0.102167,0.142196,0,3.07,0.0028,ind s,1.1354060746,1.0458900434,1.2325836377
fincome1,5,0.071107,0.071433,-0.07202,0.21423,55.491,0.034812,0.108144,0,1.00,0.3238,ind s,1.0736957364,0.930513135,1.238910544
fincome2,5,0.018414,0.058768,-0.09993,0.13675,45.349,-0.013640,0.059972,0,0.31,0.7555,ind s,1.0185850643,0.9049044673,1.1465470342
fincome3,5,-0.018216,0.053969,-0.12416,0.08772,791.16,-0.030726,-0.001546,0,-0.34,0.7358,ind s,0.9819490446,0.8832428256,1.0916861118
midwest,5,-0.024772,0.040777,-0.10520,0.05566,191.51,-0.043670,-0.004262,0,-0.61,0.5442,ind s,0.9755325188,0.9001422343,1.057237022
south,5,-0.049053,0.060805,-0.17276,0.07465,33.024,-0.087842,0.000285,0,-0.81,0.4256,ind s,0.9521310295,0.8413410499,1.077510122
west,5,-0.255657,0.069200,-0.39914,-0.11217,22.074,-0.306377,-0.215739,0,-3.69,0.0013,ind s,0.7744079041,0.6708969427,0.8938893051
cohort,5,0.117365,0.049823,0.01952,0.21521,607.91,0.105623,0.138714,0,2.36,0.0188,ind s,1.1245296742,1.0197113457,1.2401225048
chage,5,0.073492,0.007175,0.05923,0.08775,86.124,0.068910,0.076672,0,10.24,<.0001,ind s,1.0762604065,1.0610194286,1.0917203128
white,5,-0.159697,0.071475,-0.30157,-0.01783,96.266,-0.205421,-0.123507,0,-2.23,0.0278,ind s,0.8524018044,0.739657025,0.9823320965
sex,5,-0.515190,0.035951,-0.58692,-0.44346,68.447,-0.533067,-0.491957,0,-14.33,<.0001,ind s,0.5973871133,0.5560373085,0.641811903
INTERCEPT,5,-3.489155,0.145690,-3.77816,-3.20015,101.1,-3.553722,-3.393979,0,-23.95,<.0001,ind s,0.030526644,0.0228646866,0.0407561236
super_m,5,0.009288,0.021599,-0.03464,0.05322,33.256,-0.006282,0.025537,0,0.43,0.6700,ind s,1.0093311758,0.9659505119,1.0546600576
rest_m,5,0.007872,0.005612,-0.00341,0.01916,47.677,0.004375,0.011761,0,1.40,0.1672,ind s,1.0079031812,0.9965928272,1.0193418967
fast_m,5,-0.003404,0.005702,-0.01463,0.00782,284.18,-0.006018,-0.001391,0,-0.60,0.5510,ind s,0.9966016402,0.9854793079,1.0078495016
conv_m,5,0.031642,0.026375,-0.02059,0.08387,117.59,0.020516,0.041632,0,1.20,0.2327,ind s,1.0321480254,0.9796215914,1.0874908798
ses_m,5,-0.009418,0.007603,-0.02470,0.00586,48.783,-0.014326,-0.005113,0,-1.24,0.2214,ind s,0.9906263454,0.9756033256,1.0058807001
husbeduc,5,-0.116046,0.027387,-0.17066,-0.06143,70.72,-0.132425,-0.105100,0,-4.24,<.0001,ind s,0.8904346905,0.8431097267,0.9404160726
income,5,-0.025538,0.024113,-0.07516,0.02408,25.434,-0.043565,-0.008812,0,-1.06,0.2995,ind s,0.97478551,0.9275983437,1.0243730996
midwest,5,-0.025814,0.040810,-0.10633,0.05470,184.44,-0.045778,-0.006088,0,-0.63,0.5278,ind s,0.9745160972,0.8991284099,1.0562246874
south,5,-0.048267,0.059393,-0.16837,0.07183,39.348,-0.083502,-0.001929,0,-0.81,0.4213,ind s,0.9528796596,0.8450450317,1.0744748641
west,5,-0.255763,0.068960,-0.39862,-0.11291,22.435,-0.306031,-0.215183,0,-3.71,0.0012,ind s,0.7743251313,0.6712470959,0.8932320343
cohort,5,0.080357,0.037718,0.00595,0.15477,186.07,0.065868,0.100739,0,2.13,0.0344,ind s,1.0836737282,1.0059653484,1.1673848915
chage,5,0.073606,0.007164,0.05937,0.08784,88.097,0.069003,0.076718,0,10.27,<.0001,ind s,1.0763821497,1.061166326,1.0918161497
white,5,-0.159705,0.071375,-0.30136,-0.01805,97.291,-0.205488,-0.124278,0,-2.24,0.0275,ind s,0.8523951929,0.7398119499,0.98211115
sex,5,-0.514859,0.035920,-0.58653,-0.44319,68.527,-0.532201,-0.491141,0,-14.33,<.0001,ind s,0.5975847538,0.556256468,0.6419836146
INTERCEPT,5,-3.938497,0.167187,-4.28575,-3.59124,21.434,-4.020433,-3.764584,0,-23.56,<.0001,swamp,0.0194774666,0.0137632395,0.0275641286
