Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
west,5,-0.174176,0.102661,-0.37651,0.02815,218.97,-0.210750,-0.132507,0,-1.70,0.0912,ind s,0.8401486345,0.686254331,1.0285541324
cohort,5,0.071686,0.065444,-0.05678,0.20015,795.17,0.053802,0.093607,0,1.10,0.2737,ind s,1.0743183564,0.9448044163,1.2215860879
chage,5,0.099809,0.011689,0.07684,0.12278,440.3,0.096607,0.104437,0,8.54,<.0001,ind s,1.1049600689,1.0798652187,1.1306380951
white,5,-0.090567,0.121253,-0.32928,0.14815,271.81,-0.154307,-0.056814,0,-0.75,0.4558,ind s,0.913412679,0.7194406808,1.1596824372
sex,5,-0.437875,0.060211,-0.55704,-0.31871,124.91,-0.457356,-0.410892,0,-7.27,<.0001,ind s,0.6454061762,0.5729020898,0.7270860757
INTERCEPT,5,-5.589132,0.372480,-6.32258,-4.85568,260.98,-5.693005,-5.435644,0,-15.01,<.0001,geswt,0.0037382696,0.0017953024,0.0077840147
gotweight,5,0.518766,0.079330,0.35714,0.68039,31.818,0.469842,0.580189,0,6.54,<.0001,geswt,1.6799537812,1.429237108,1.9746511557
prev_preg1,5,-0.054752,0.084335,-0.22154,0.11203,135.52,-0.102818,-0.024023,0,-0.65,0.5173,geswt,0.9467196325,0.8012871382,1.118547921
prev_preg2,5,0.030522,0.101386,-0.17059,0.23163,101.64,-0.014561,0.087987,0,0.30,0.7640,geswt,1.0309928014,0.8431708728,1.2606533157
prev_preg3,5,-0.037152,0.112303,-0.25744,0.18313,1526.1,-0.064238,-0.001200,0,-0.33,0.7408,geswt,0.963529663,0.7730314217,1.2009724125
agebirth,5,0.001389,0.009757,-0.01776,0.02054,873.51,-0.002633,0.003282,0,0.14,0.8868,geswt,1.0013901998,0.9823963557,1.0207512746
bpregob,5,1.163868,0.104598,0.95884,1.36889,14244,1.154015,1.184443,0,11.13,<.0001,geswt,3.2022968276,2.6086745696,3.9310020081
chage,5,0.069877,0.013317,0.04362,0.09614,202.02,0.062118,0.074206,0,5.25,<.0001,geswt,1.0723767651,1.0445841074,1.1009088864
white,5,0.024183,0.126877,-0.22463,0.27300,2149.8,-0.017289,0.042682,0,0.19,0.8489,geswt,1.0244781916,0.7988112099,1.3138968908
sex,5,-0.436304,0.067672,-0.56977,-0.30284,194.56,-0.472831,-0.413255,0,-6.45,<.0001,geswt,0.6464213767,0.5656564078,0.738718046
INTERCEPT,5,-7.882698,0.553858,-8.97026,-6.79514,651.82,-8.134045,-7.792008,0,-14.23,<.0001,physi,0.000377214,0.0001271353,0.0011192047
physicianq1,5,0.010252,0.179232,-0.34179,0.36230,562.29,-0.056847,0.054406,0,0.06,0.9544,physi,1.0103050327,0.7104942656,1.4366284267
